ID_Ort;Name;Adresse;Nordwert;Ostwert;Zoom;UpdateFlag
1;Bundeshaus;Bundesplatz 3, 3003 Bern;;;400;0
2;Prime Tower;Hardstrasse 201, 8005 Zürich;;;400;0
3;Verkehrshaus der Schweiz;Lidostrasse 5, 6006 Luzern;;;600;0
4;Letzigrund Stadion;Badenerstrasse 500, 8048 Zürich;;;500;0
5;Bahnhof Olten;Bahnhofstrasse 22, 4600 Olten;2635441.25;1244664.125;600;1
6;Rheinfall;Rheinfallquai, 8212 Neuhausen am Rheinfall;2688048.75;1281511.5;800;1
7;Schloss Chillon;Avenue de Chillon 21, 1820 Veytaux;;;400;0
8;Zürich Hauptbahnhof;Bahnhofplatz, 8001 Zürich;;;800;0
9;Flughafen Zürich Terminal 1;8058 Zürich-Flughafen;;;2500;0
10;St. Jakob-Park;St. Jakob-Strasse 395, 4052 Basel;;;600;0
11;Kultur- und Kongresszentrum KKL;Europaplatz 1, 6005 Luzern;2666356.25;1211434;400;1
12;Bahnhof Bern;Bahnhofplatz 10, 3011 Bern;2600107.5;1199722;700;1
13;Palais des Nations;Avenue de la Paix 14, 1211 Genève;;;1000;0
14;Stiftsbibliothek St. Gallen;Klosterhof 6, 9000 St. Gallen;;;300;0
15;Jet d'Eau;Quai Gustave-Ador, 1207 Genève;;;800;0
16;Oerlikon Offene Rennbahn;Wallisellenstrasse 4, 8050 Zürich;;;400;0
17;Bahnhof Lausanne;Place de la Gare 5, 1003 Lausanne;;;600;0
18;Schloss Thun;Schlossberg 1, 3600 Thun;2614617.5;1178778.75;300;1
19;Tissot Arena;Boulevard des Sports 18, 2504 Biel;;;600;0
20;Maison Cailler;Rue Jules Bellet 7, 1636 Broc;2574717.25;1161805.5;400;1
21;Technorama;Technoramastrasse 1, 8404 Winterthur;2699833.75;1263377.625;500;1
22;Bahnhof Frauenfeld;Bahnhofplatz, 8500 Frauenfeld;2709628;1268393;500;1
23;Kybunpark;Zürcher Strasse 464, 9015 St. Gallen;2740801.25;1252460;500;1
24;Schloss Lenzburg;Schloss, 5600 Lenzburg;2656372.25;1248785;400;1
25;Papiliorama;Moosmatte 1, 3210 Kerzers;;;400;0
26;Bahnhof Chur;Bahnhofplatz, 7000 Chur;;;600;0
27;Kirche San Giovanni Battista;6696 Mogno;;;200;0
28;Landesmuseum Zürich;Museumstrasse 2, 8001 Zürich;;;400;0
29;Bahnhof Ziegelbrücke;8866 Ziegelbrücke;;;600;0
30;Goetheanum;Rüttiweg 45, 4143 Dornach;;;500;0
31;Stadion Wankdorf;Papiermühlestrasse 71, 3014 Bern;2601995.75;1201234;600;1
32;Kloster Einsiedeln;Klosterplatz 2, 8840 Einsiedeln;;;600;0
33;Bahnhof Bellinzona;Viale Stazione, 6500 Bellinzona;2722498.75;1116934.375;500;1
34;Bernaqua Westside;Riedbachstrasse 98, 3027 Bern;;;800;0
35;Zoo Basel;Binningerstrasse 40, 4054 Basel;;;800;0
36;Bahnhof Lugano;Piazzale della Stazione, 6900 Lugano;;;500;0
37;Ozeanium (geplant/Bauplatz);Heuwaage, 4051 Basel;;;300;0
39;Hallenstadion;Wallisellenstrasse 45, 8050 Zürich;;;400;0
40;Kloster Königsfelden;Zürcherstrasse, 5210 Windisch;;;400;0
41;Messe Basel (Halle 1);Messeplatz 10, 4058 Basel;2612287;1268205.375;600;1
42;Bahnhof St. Gallen;Bahnhofplatz, 9000 St. Gallen;;;600;0
43;Schloss Rapperswil;Eichfeldstrasse, 8640 Rapperswil;2705572.75;1231800.75;300;1
44;Bahnhof Winterthur;Bahnhofplatz 7, 8400 Winterthur;;;600;0
45;Glattzentrum;Neue Winterthurerstrasse 99, 8304 Wallisellen;;;800;0
46;Shoppi Tivoli;Hochstrasse 1, 8957 Spreitenbach;2670107.5;1252671.75;1000;1
48;Castelgrande;Salita al Castelgrande 18, 6500 Bellinzona;2722219.5;1116895.125;400;1
49;Bahnhof Neuchâtel;Place de la Gare, 2000 Neuchâtel;;;500;0
50;KVA Josefstrasse (Turm);Josefstrasse 205, 8005 Zürich;;;300;0
52;FIFA Museum;Seestrasse 27, 8002 Zürich;;;200;0
53;CERN Globe;Route de Meyrin 385, 1217 Meyrin;;;400;0
54;Bahnhof Zug;Bahnhofplatz, 6300 Zug;;;500;0
55;Siky Park;Chemin de la Forêt 1, 2743 Eschert;2598694.5;1234657.375;400;1
56;Bahnhof Aarau;Bahnhofstrasse 50, 5000 Aarau;;;500;0
57;Münster Bern;Münsterplatz 1, 3011 Bern;;;300;0
58;Bahnhof Schaffhausen;Bahnhofstrasse, 8200 Schaffhausen;;;500;0
59;Forum Fribourg;Route du Lac 12, 1763 Granges-Paccot;2578229.5;1185964.125;500;1
60;Bahnhof Fribourg;Place de la Gare, 1700 Fribourg;;;600;0
61;Swissminiatur;Via Rompada 16, 6815 Melide;;;300;0
62;Bahnhof Visp;Bahnhofplatz, 3930 Visp;2634112.75;1127022.75;500;1
63;Fondation Beyeler;Baselstrasse 101, 4125 Riehen;;;400;0
64;Bahnhof Spiez;Bahnhofstrasse 12, 3700 Spiez;2618467.75;1170633.375;500;1
65;Knies Kinderzoo;Oberseestrasse 36, 8640 Rapperswil;2704800;1231265.75;400;1
66;Bahnhof Thun;Bahnhofstrasse, 3600 Thun;2614628.75;1178364.25;600;1
67;Ballenberg West;Museumsstrasse 131, 3858 Hofstetten;;;1200;0
68;Bahnhof Montreux;Avenue des Alpes 74, 1820 Montreux;;;500;0
69;Chaplin's World;Route de Saint-Légier 2, 1804 Corsier-sur-Vevey;;;500;0
71;Alpamare;Gwattstrasse 12, 8808 Pfäffikon SZ;;;500;0
73;Autobahnraststätte Würenlos;A1, 5436 Würenlos;;;600;0
75;Zentralbibliothek Zürich;Zähringerplatz 6, 8001 Zürich;2683551.5;1247618.125;200;1
76;Bahnhof Uster;Bahnhofstrasse, 8610 Uster;;;500;0
77;Flugplatz Emmen;Emmen, Seetalstr. 175.97;2667257;1218115;4000;1
78;Bahnhof Wetzikon;Bahnhofstrasse, 8620 Wetzikon;;;500;0
79;Hafen Romanshorn;Friedrichshafnerstrasse, 8590 Romanshorn;2745436.25;1269097.75;600;1
80;Bahnhof Baden;Bahnhofstrasse 25, 5400 Baden;;;400;0
81;Landhaus Solothurn;Landhausquai 4, 4500 Solothurn;2607488.75;1228403.25;200;1
82;Bahnhof Liestal;Bahnhofplatz, 4410 Liestal;;;400;0
83;Dreispitzareal;Münchensteinerstrasse, 4053 Basel;;;1200;0
85;Schloss Laufen;Dachsen, Laufen am Rheinfall 2.1;2687700.5;1280421.5;700;1
87;Olympisches Museum, Olympiamuseum;Quai d'Ouchy 1, 1006 Lausanne;2538276.75;1151058.75;400;1
89;Rolex Learning Center;Route Cantonale, 1024 Ecublens;;;400;0
91;Marmorbrücke (Grand Pont);Place de la Riponne, 1005 Lausanne;;;400;0
92;Bahnhof Effretikon;Bahnhofsplatz, 8307 Illnau-Effretikon;;;500;0
93;Kaserne Basel;Klybeckstrasse 1b, 4057 Basel;;;400;0
94;Bahnhof Rapperswil;Bahnhofplatz, 8640 Rapperswil;2704388;1231372.375;500;1
95;Vögele Kultur Zentrum;Gwattstrasse 14, 8808 Pfäffikon SZ;2702574.75;1228481.5;300;1
96;Bahnhof Pfäffikon SZ;Bahnhofstrasse, 8808 Pfäffikon SZ;;;500;0
97;Schokoladenmuseum Lindt;Schokoladenplatz 1, 8802 Kilchberg;;;400;0
98;Bahnhof Meilen;Bahnhofstrasse, 8706 Meilen;;;400;0
99;Sauriermuseum Aathal;Zürichstrasse 69, 8607 Aathal;;;400;0
101;Tierpark Goldau;Parkweg 30, 6410 Goldau;;;800;0
102;Bahnhof Romanshorn;Bahnhofplatz, 8590 Romanshorn;;;500;0
103;Rathaus Basel;Marktplatz 9, 4001 Basel;;;200;0
104;Bahnhof Amriswil;Bahnhofstrasse, 8580 Amriswil;;;400;0
105;Sechseläutenplatz;Sechseläutenplatz, 8001 Zürich;;;400;0
106;Bahnhof Kreuzlingen;Bahnhofstrasse, 8280 Kreuzlingen;2730188;1279365;500;1
